TargetID,MonthStart,AccountManagerID,VolumeTarget,NetRevenueTarget,NewCustomerTarget
1,2025-01-01,1,589752,42317.32,17
2,2025-02-01,1,472950,37086.3,14
3,2025-03-01,1,496430,38292.9,6
4,2025-04-01,1,265725,21087.25,16
5,2025-05-01,1,447078,32522.37,11
6,2025-06-01,1,288355,19188.73,15
7,2025-07-01,1,564187,41751.06,12
8,2025-08-01,1,316597,24518.6,11
9,2025-09-01,1,291383,23150.63,20
10,2025-10-01,1,277589,22326.72,13
11,2025-11-01,1,556372,38427.88,12
12,2025-12-01,1,628097,43487.12,10
13,2026-01-01,1,534303,38659.71,9
14,2026-02-01,1,296000,20746.68,16
15,2026-03-01,1,406145,30526.33,7
16,2026-04-01,1,523609,43492.82,5
17,2026-05-01,1,403571,33102.39,5
18,2026-06-01,1,445418,32290.85,18
19,2025-01-01,2,143919,9931.57,11
20,2025-02-01,2,175237,14894.73,8
21,2025-03-01,2,280377,22001.78,17
22,2025-04-01,2,204849,16875.96,6
23,2025-05-01,2,382357,29589.44,16
24,2025-06-01,2,288766,22221.92,20
25,2025-07-01,2,368934,27073.02,9
26,2025-08-01,2,296097,23352.65,7
27,2025-09-01,2,215670,17516.59,13
28,2025-10-01,2,346524,22545.27,16
29,2025-11-01,2,246456,18328.71,16
30,2025-12-01,2,276429,18555.23,14
31,2026-01-01,2,338069,28490.35,10
32,2026-02-01,2,144287,11781.78,12
33,2026-03-01,2,275289,22407.47,12
34,2026-04-01,2,259216,17810.6,19
35,2026-05-01,2,189771,12784.36,8
36,2026-06-01,2,341474,22715.03,6
37,2025-01-01,3,477303,39017.3,8
38,2025-02-01,3,207987,13581.16,6
39,2025-03-01,3,278045,18447.38,7
40,2025-04-01,3,326034,23114.84,7
41,2025-05-01,3,393284,27221.26,16
42,2025-06-01,3,333426,22680.8,15
43,2025-07-01,3,355272,29563.05,9
44,2025-08-01,3,346747,28965.81,9
45,2025-09-01,3,227606,17127.05,12
46,2025-10-01,3,470530,38592.28,8
47,2025-11-01,3,211683,16164.79,9
48,2025-12-01,3,484733,38264.29,14
49,2026-01-01,3,466651,31193.33,20
50,2026-02-01,3,335354,24272.39,13
51,2026-03-01,3,206733,16014.04,11
52,2026-04-01,3,308090,26006.09,8
53,2026-05-01,3,335263,23385.61,10
54,2026-06-01,3,319199,22662.23,11
55,2025-01-01,4,477911,35000.05,5
56,2025-02-01,4,220494,14820.42,5
57,2025-03-01,4,473728,35234.68,14
58,2025-04-01,4,411044,33002.99,15
59,2025-05-01,4,332795,26201.41,18
60,2025-06-01,4,184941,13992.3,13
61,2025-07-01,4,275749,18602.83,15
62,2025-08-01,4,190337,15557.53,13
63,2025-09-01,4,255428,19976.46,18
64,2025-10-01,4,443269,36822.63,12
65,2025-11-01,4,505362,37382.68,13
66,2025-12-01,4,327063,24563.65,18
67,2026-01-01,4,194968,12839.36,19
68,2026-02-01,4,292589,21712.99,8
69,2026-03-01,4,185964,13692.09,11
70,2026-04-01,4,383708,28295.49,19
71,2026-05-01,4,258395,17527.78,11
72,2026-06-01,4,280548,19333.21,13
73,2025-01-01,5,404665,26543.43,17
74,2025-02-01,5,404041,34341.17,13
75,2025-03-01,5,222187,18260.03,8
76,2025-04-01,5,290490,19900.18,17
77,2025-05-01,5,347096,23137.45,15
78,2025-06-01,5,503713,37818.47,10
79,2025-07-01,5,296175,22929.67,19
80,2025-08-01,5,210488,17629.25,6
81,2025-09-01,5,364492,26147.65,20
82,2025-10-01,5,443822,29423.3,12
83,2025-11-01,5,197812,13595.84,15
84,2025-12-01,5,518459,36611.99,20
85,2026-01-01,5,396761,31462.55,14
86,2026-02-01,5,191344,13546.21,18
87,2026-03-01,5,507895,33225.03,7
88,2026-04-01,5,298519,21855.72,19
89,2026-05-01,5,315666,21833.0,7
90,2026-06-01,5,498768,35421.1,11
91,2025-01-01,6,354547,25775.83,19
92,2025-02-01,6,326493,27713.33,16
93,2025-03-01,6,446142,36305.22,17
94,2025-04-01,6,465704,32474.8,14
95,2025-05-01,6,453613,35651.15,10
96,2025-06-01,6,336938,24079.77,11
97,2025-07-01,6,255938,18215.32,7
98,2025-08-01,6,266846,20420.14,16
99,2025-09-01,6,388281,31434.59,5
100,2025-10-01,6,458356,37734.07,9
101,2025-11-01,6,365509,23900.41,17
102,2025-12-01,6,306697,21393.78,13
103,2026-01-01,6,363432,29018.92,16
104,2026-02-01,6,263857,19381.7,16
105,2026-03-01,6,281145,19789.62,7
106,2026-04-01,6,440870,31910.15,13
107,2026-05-01,6,487990,32963.69,7
108,2026-06-01,6,481768,40634.92,18
109,2025-01-01,7,189918,12878.27,13
110,2025-02-01,7,423483,29207.1,13
111,2025-03-01,7,420200,30888.83,7
112,2025-04-01,7,438500,30472.91,13
113,2025-05-01,7,293615,22828.67,14
114,2025-06-01,7,287665,19085.35,9
115,2025-07-01,7,211628,15722.21,19
116,2025-08-01,7,264508,17400.19,16
117,2025-09-01,7,295814,24883.22,11
118,2025-10-01,7,428172,35988.56,15
119,2025-11-01,7,336859,26691.25,10
120,2025-12-01,7,434682,35715.34,14
121,2026-01-01,7,505560,41157.61,17
122,2026-02-01,7,430850,30827.79,19
123,2026-03-01,7,344604,28913.89,11
124,2026-04-01,7,477706,34495.0,16
125,2026-05-01,7,302063,24021.92,15
126,2026-06-01,7,410186,29154.48,15
127,2025-01-01,8,337768,23699.36,9
128,2025-02-01,8,279345,19767.39,6
129,2025-03-01,8,203628,15630.05,19
130,2025-04-01,8,239210,18353.02,7
131,2025-05-01,8,325884,25193.83,16
132,2025-06-01,8,488622,38315.53,8
133,2025-07-01,8,272567,23109.11,8
134,2025-08-01,8,425561,36040.96,7
135,2025-09-01,8,220650,18214.61,19
136,2025-10-01,8,462464,31474.67,19
137,2025-11-01,8,314469,25012.98,14
138,2025-12-01,8,427597,28894.59,14
139,2026-01-01,8,477699,34623.64,19
140,2026-02-01,8,344672,27571.41,13
141,2026-03-01,8,198447,14063.94,15
142,2026-04-01,8,490274,33204.06,12
143,2026-05-01,8,309702,26007.01,10
144,2026-06-01,8,293527,19601.57,5
145,2025-01-01,9,493535,38701.11,14
146,2025-02-01,9,422321,34929.86,10
147,2025-03-01,9,291045,19238.18,6
148,2025-04-01,9,364378,26123.22,20
149,2025-05-01,9,279034,20231.43,6
150,2025-06-01,9,369019,28592.66,17
151,2025-07-01,9,403893,31870.7,16
152,2025-08-01,9,469740,39857.11,15
153,2025-09-01,9,408345,29867.48,7
154,2025-10-01,9,308233,24515.34,15
155,2025-11-01,9,494762,35046.8,19
156,2025-12-01,9,320226,23463.72,18
157,2026-01-01,9,228971,16227.39,19
158,2026-02-01,9,515438,37685.75,8
159,2026-03-01,9,468998,34743.92,9
160,2026-04-01,9,345989,23154.12,11
161,2026-05-01,9,508180,38896.88,7
162,2026-06-01,9,389735,27761.87,5
163,2025-01-01,10,429134,35632.64,12
164,2025-02-01,10,275231,23391.19,15
165,2025-03-01,10,473122,36873.75,8
166,2025-04-01,10,445984,34618.13,10
167,2025-05-01,10,314655,26307.79,5
168,2025-06-01,10,223323,15570.4,11
169,2025-07-01,10,390316,32103.73,9
170,2025-08-01,10,397172,26957.25,17
171,2025-09-01,10,199637,14054.8,6
172,2025-10-01,10,447585,34576.08,9
173,2025-11-01,10,428913,28889.16,6
174,2025-12-01,10,392902,29276.38,18
175,2026-01-01,10,431498,34253.53,13
176,2026-02-01,10,270427,18988.59,7
177,2026-03-01,10,256783,18811.6,10
178,2026-04-01,10,471674,35908.34,11
179,2026-05-01,10,464683,31286.06,14
180,2026-06-01,10,432837,35847.1,14
181,2025-01-01,11,397308,31008.4,12
182,2025-02-01,11,494275,33766.99,6
183,2025-03-01,11,180074,14355.59,13
184,2025-04-01,11,515859,34154.85,7
185,2025-05-01,11,181600,12722.34,5
186,2025-06-01,11,361535,24562.3,6
187,2025-07-01,11,300793,21877.36,11
188,2025-08-01,11,489310,33608.13,12
189,2025-09-01,11,430467,35974.95,16
190,2025-10-01,11,419430,29237.62,12
191,2025-11-01,11,334570,24981.72,13
192,2025-12-01,11,508900,39830.38,18
193,2026-01-01,11,382886,30580.39,11
194,2026-02-01,11,461919,39138.93,9
195,2026-03-01,11,504207,39505.87,12
196,2026-04-01,11,193884,15440.81,16
197,2026-05-01,11,315709,21251.95,14
198,2026-06-01,11,391343,30814.86,8
199,2025-01-01,12,381752,29680.45,16
200,2025-02-01,12,415754,27798.71,15
201,2025-03-01,12,400531,26451.69,15
202,2025-04-01,12,293088,20099.11,16
203,2025-05-01,12,355937,24696.94,15
204,2025-06-01,12,318317,25716.12,5
205,2025-07-01,12,430572,34557.32,8
206,2025-08-01,12,258431,19018.85,17
207,2025-09-01,12,503634,37349.46,10
208,2025-10-01,12,203970,15085.78,13
209,2025-11-01,12,347896,26553.63,14
210,2025-12-01,12,201773,16757.32,6
211,2026-01-01,12,270764,17906.15,9
212,2026-02-01,12,456168,29866.27,10
213,2026-03-01,12,237314,18736.31,11
214,2026-04-01,12,312877,23622.35,8
215,2026-05-01,12,461794,32390.53,15
216,2026-06-01,12,197420,14005.78,12
